iter	AUC	CrossEntropy
106	0.7309064865	0.5721129557
107	0.7312602997	0.5717306641
108	0.7316226959	0.5713520182
109	0.7319431603	0.5709879557
110	0.7321094573	0.5706245443
111	0.7323349714	0.5702560547
112	0.7326416075	0.5698785807
113	0.7329595089	0.5695212891
114	0.7334359884	0.5691880208
115	0.7337558866	0.5688402995
116	0.7342321873	0.5685089193
117	0.7344877124	0.5681674479
118	0.7346827984	0.5678298177
119	0.7349961996	0.5675055339
120	0.7352204323	0.5671915365
121	0.7355166078	0.5668685547
122	0.7356457114	0.5665348958
123	0.7359401286	0.5662242187
124	0.7362912297	0.5659267578
125	0.7365556955	0.5656154297
126	0.7366537154	0.5652998047
127	0.7368351221	0.5649899089
128	0.7370092869	0.5646833333
129	0.7371231914	0.5643634115
130	0.7370975912	0.5640546224
131	0.7373003662	0.5637516927
132	0.7377191186	0.5634682943
133	0.7379596233	0.563195638
134	0.7381291389	0.5629087891
135	0.738347739	0.5626324219
136	0.7385009825	0.5623510417
137	0.7386619449	0.5620847005
138	0.7389093041	0.5618099609
139	0.739046216	0.5615384766
140	0.7393318415	0.5612671224
141	0.7397471368	0.5610210286
142	0.740057826	0.5607747396
143	0.7404168248	0.5605341146
144	0.7407370508	0.5602894531
145	0.7410923839	0.5600376302
146	0.7412154675	0.5597802734
147	0.7413553894	0.5595330729
148	0.7414394021	0.5592765625
149	0.7416273654	0.5590322917
150	0.7417520583	0.5587903646
151	0.7419322133	0.5585639323
152	0.7422252297	0.5583376953
153	0.7423083186	0.5580959635
154	0.7426228821	0.5578633464
155	0.7428945303	0.5576427083
156	0.7428662479	0.5573970703
157	0.7430827618	0.5571763672
158	0.7433351278	0.556964388
159	0.7436105311	0.5567554688
160	0.7435750365	0.5565223958
161	0.7437720299	0.5562998047
162	0.7439211607	0.5560825521
163	0.7442018986	0.5558832031
164	0.7443197966	0.5556691406
165	0.744474709	0.5554640625
166	0.7447055578	0.5552539063
167	0.7448439598	0.5550341797
168	0.7451146841	0.5548225911
169	0.7452380657	0.5546188802
170	0.7453677058	0.5544160807
171	0.7455496788	0.5542102214
172	0.7456812561	0.5540070312
173	0.7457624674	0.5538048177
174	0.7459938526	0.5536165365
175	0.7460883856	0.5534249349
176	0.7463706136	0.5532349609
177	0.7466618419	0.5530445312
178	0.7467658818	0.5528546875
179	0.7468819022	0.5526741536
180	0.747027576	0.5524860677
181	0.7472088933	0.5522929036
182	0.7473460436	0.5521102214
183	0.7476001978	0.5519279297
184	0.747805953	0.5517473958
185	0.7480070293	0.5515749349
186	0.7482358813	0.5514044271
187	0.7483155131	0.5512244792
188	0.7484998703	0.5510475911
189	0.7485675812	0.5508676432
190	0.7486364841	0.5506962891
191	0.7487843633	0.5505263672
192	0.7489227653	0.5503565104
193	0.7491324544	0.5501945312
194	0.7492153347	0.5500304687
195	0.7492281199	0.5498588542
196	0.7493760586	0.549691862
197	0.7495000362	0.5495285807
198	0.749717474	0.5493684896
199	0.7499818802	0.5492086589
200	0.7500792742	0.5490414062
201	0.7502313852	0.5488859375
202	0.750431478	0.5487213542
203	0.7505045533	0.5485649089
204	0.7505888343	0.5484066406
205	0.7507907748	0.5482561849
206	0.7509024739	0.5480996094
207	0.7509538531	0.5479511068
208	0.7509735227	0.5477945964
209	0.7510089278	0.5476445313
210	0.7510776818	0.5474863932
211	0.7512890697	0.5473311198
212	0.7514165044	0.5471770182
213	0.7515006065	0.5470266276
214	0.7515327334	0.5468770833
215	0.7517116666	0.5467360026
216	0.7518544793	0.5465988932
217	0.7519487739	0.5464638672
218	0.7521442175	0.5463189453
219	0.7523752451	0.5461757161
220	0.7524398267	0.5460305013
221	0.75259763	0.5458830404
222	0.752584219	0.5457381836
223	0.7527219653	0.5455940755
224	0.7528809309	0.5454649089
225	0.7530370355	0.5453434245
226	0.7532070279	0.5452022786
227	0.7532895207	0.5450783203
228	0.7533593774	0.5449433268
229	0.7534511089	0.5448019531
230	0.7535835505	0.544660319
231	0.7536681294	0.5445279297
232	0.7538064718	0.5444080078
233	0.7539514899	0.5442807292
234	0.7540522218	0.5441565104
235	0.7541640997	0.5440258138
236	0.7542538643	0.5438932292
237	0.7543982267	0.5437672201
238	0.7545011044	0.5436374674
239	0.7544543147	0.5434999349
240	0.7546420693	0.5433792318
241	0.7547547817	0.5432544922
242	0.7548131943	0.543130957
243	0.7548335195	0.5430037435
244	0.754850328	0.5428743815
245	0.7549721003	0.5427625
246	0.7550141811	0.5426416992
247	0.7551429868	0.5425186198
248	0.7551871538	0.5423977539
249	0.7553485632	0.542277181
250	0.7553768754	0.542151237
251	0.7555048764	0.5420282227
252	0.7556443214	0.5419104492
253	0.7557229996	0.5417954102
254	0.7558127046	0.5416757813
255	0.7559262514	0.5415529297
256	0.7560840249	0.5414476237
257	0.7562241554	0.5413387695
258	0.7562944889	0.5412289714
259	0.7563352585	0.5411133138
260	0.7565057874	0.5410004232
261	0.7565915287	0.5408925781
262	0.7566839159	0.5407750326
263	0.756750524	0.5406588867
264	0.7568341494	0.5405407878
265	0.7569054365	0.5404323568
266	0.7569153905	0.540321875
267	0.7569457889	0.5402093099
268	0.7571158111	0.5401000977
269	0.7572525442	0.5399822591
270	0.757353425	0.5398791992
271	0.7574342191	0.5397722331
272	0.7574642003	0.5396638346
273	0.7574895322	0.5395578776
274	0.7575444579	0.5394502604
275	0.7575989366	0.5393431641
276	0.7577369809	0.5392347982
277	0.7578920126	0.5391333008
278	0.7579113245	0.5390281576
279	0.7579897344	0.5389240234
280	0.7580809593	0.5388251302
281	0.7581345439	0.5387132161
282	0.7582383156	0.5386073242
283	0.7583178878	0.538506901
284	0.7584057152	0.5384043294
285	0.7584995031	0.5383048503
286	0.7585110664	0.5382003581
287	0.7586141229	0.5381053711
288	0.7587526143	0.5380099284
289	0.7588379979	0.5379151042
290	0.7589056492	0.5378129557
291	0.759031415	0.5377162435
292	0.7590861917	0.5376209961
293	0.7591534853	0.5375233724
294	0.7592653036	0.537422168
295	0.7593429089	0.5373268555
296	0.759372592	0.5372329427
297	0.7594476342	0.5371408203
298	0.759498179	0.5370532878
299	0.7596188784	0.5369567057
300	0.7596459985	0.5368620768
301	0.7596638501	0.5367685221
302	0.7597221136	0.5366708659
303	0.759801209	0.5365736328
304	0.7598801851	0.536475651
305	0.7599127293	0.5363876953
306	0.759966135	0.5362920247
307	0.760068655	0.5362021159
308	0.7601783872	0.5361143229
309	0.7602332234	0.5360212891
310	0.7602627277	0.5359344076
311	0.7602694035	0.5358457357
312	0.7603448033	0.5357625651
313	0.760365665	0.5356777344
314	0.7603825927	0.5355909831
315	0.7604414225	0.5355023763
316	0.7605278492	0.5354119466
317	0.7605814636	0.5353233073
318	0.7606313825	0.5352359701
319	0.7607364655	0.5351490234
320	0.760807097	0.5350617187
321	0.7609215975	0.5349777018
322	0.7609511614	0.5348890625
323	0.761002779	0.5348069987
324	0.7611190677	0.5347239258
325	0.7612041831	0.5346349609
326	0.7612943053	0.5345482422
327	0.7613019049	0.5344598307
328	0.7613279819	0.5343728841
329	0.7613831758	0.5342967448
330	0.7614726424	0.5342120768
331	0.7615864873	0.5341294596
332	0.7616553307	0.5340454427
333	0.7617717981	0.5339702799
334	0.7618232369	0.5338891276
335	0.761913836	0.5338105469
336	0.7619888186	0.5337255534
337	0.7620974779	0.5336416667
338	0.762188673	0.5335608073
339	0.7622081637	0.5334830404
340	0.7622976899	0.5333956055
341	0.7622759342	0.5333172201
342	0.7623023391	0.5332381836
343	0.7623554468	0.533157487
344	0.7623901367	0.5330798503
345	0.7624647617	0.533002474
346	0.762440443	0.5329226888
347	0.7625296116	0.5328477539
348	0.7625916004	0.532766569
349	0.7626647353	0.5326877604
350	0.7626835108	0.5326060221
351	0.7627281249	0.5325288086
352	0.7627560496	0.5324488932
353	0.7627823949	0.5323719076
354	0.7628691196	0.532287793
355	0.7629414201	0.5322171875
356	0.7630000412	0.5321432943
357	0.7630895972	0.5320642578
358	0.7631524801	0.531996875
359	0.7632214427	0.5319200846
360	0.7633035481	0.5318465495
361	0.7633375525	0.5317740234
362	0.7634479105	0.5317000977
363	0.7634704113	0.531627832
364	0.7634417117	0.5315529622
365	0.7634827197	0.531485319
366	0.763541162	0.5314109701
367	0.7635990381	0.5313380859
368	0.7636670768	0.5312714518
369	0.7637068033	0.531198112
370	0.7637782097	0.5311311523
371	0.7638363242	0.5310637695
372	0.7638779879	0.5309962565
373	0.7639638782	0.5309205404
374	0.7640390694	0.5308477539
375	0.7641147077	0.5307801107
376	0.7641569972	0.5307098307
377	0.7642122209	0.5306477214
378	0.7642713189	0.5305772135
379	0.7643178701	0.5305093099
380	0.7643531263	0.5304384766
381	0.7643405199	0.5303731445
382	0.7643646002	0.5303089193
383	0.7644247413	0.5302448568
384	0.7644402981	0.5301764648
385	0.7644566894	0.5301097982
386	0.7645230889	0.5300454753
387	0.7645863295	0.5299800781
388	0.7646401525	0.529911849
389	0.7646599114	0.5298426432
390	0.7647243142	0.5297760091
391	0.764737308	0.5297143229
392	0.7647450566	0.5296476888
393	0.7647892833	0.5295778646
394	0.7648339272	0.5295128255
395	0.7648909688	0.529440625
396	0.7649347782	0.5293744792
397	0.7649678886	0.5293151042
398	0.7650184631	0.5292542318
399	0.7650876343	0.5291841146
400	0.7651352882	0.5291224935
401	0.7652079463	0.5290530599
402	0.7652608156	0.5289857747
403	0.7652852237	0.5289217122
404	0.7653224766	0.5288587565
405	0.7653321624	0.5287973307
406	0.7653489113	0.5287310872
407	0.7653518915	0.5286691406
408	0.7653664052	0.528604362
409	0.7653987408	0.528543457
410	0.7654449046	0.5284838216
411	0.7655160427	0.5284152018
412	0.7655517459	0.5283589844
413	0.7655802369	0.5282969076
414	0.7656027377	0.5282339844
415	0.765612334	0.5281728516
416	0.7656432986	0.5281165365
417	0.7656654119	0.5280568359
418	0.7657208145	0.5279968099
419	0.7657589316	0.5279394857
420	0.7657741904	0.5278797852
421	0.7657883465	0.5278193685
422	0.7658447623	0.5277595378
423	0.7658931613	0.527699707
424	0.7659033537	0.5276430339
425	0.7659342289	0.5275815755
426	0.7659666538	0.5275197266
427	0.766010046	0.527466569
428	0.7660442591	0.5274108073
429	0.766104579	0.527352474
430	0.7661400437	0.5272907878
431	0.7661764622	0.527234668
432	0.7662138939	0.5271792969
433	0.7662705183	0.5271177409
434	0.7663171291	0.527061263
435	0.7663812637	0.5270059896
436	0.7664371729	0.5269472005
437	0.7664648294	0.5268931641
438	0.7664992511	0.526838737
439	0.7665480971	0.5267808594
440	0.7665739059	0.5267277018
441	0.7666376829	0.5266708008
442	0.7666710317	0.5266186198
443	0.7667198181	0.5265598633
444	0.7667675614	0.5265041992
445	0.7668250799	0.5264407878
446	0.7668480277	0.5263862305
447	0.7668728828	0.5263356445
448	0.7669075727	0.5262827148
449	0.7669409513	0.5262304688
450	0.7669920325	0.526177181
451	0.7670309544	0.5261269857
452	0.7670817971	0.5260716797
453	0.7670975029	0.5260170898
454	0.7671289444	0.5259589518
455	0.7671803832	0.5259054687
456	0.7672125101	0.5258518229
457	0.767234683	0.5257982422
458	0.7672219276	0.5257429036
459	0.7672487199	0.5256910156
460	0.7672448158	0.5256388346
461	0.767303586	0.5255902995
462	0.7673258185	0.525540625
463	0.7673606277	0.5254883464
464	0.7673933506	0.5254332031
465	0.767427057	0.5253864583
466	0.767441988	0.5253351237
467	0.7674767375	0.5252851563
468	0.7675105035	0.5252342122
469	0.7675381303	0.5251825521
470	0.76756832	0.525135026
471	0.767598629	0.5250863932
472	0.7676045895	0.525038444
473	0.7676573396	0.5249866211
474	0.7677009106	0.5249339193
475	0.7677288055	0.5248842773
476	0.7677816749	0.5248350586
477	0.7678230405	0.5247841797
478	0.7678233385	0.5247339844
479	0.7678576708	0.5246875977
480	0.7678952217	0.5246411784
481	0.7679325342	0.5245893555
482	0.7679637671	0.5245422526
483	0.767999351	0.5244943034
484	0.7680283785	0.524448763
485	0.7680760026	0.5243958333
486	0.7681212425	0.5243448568
487	0.768149972	0.5242979818
488	0.768173039	0.5242516602
489	0.7681978941	0.5242027669
490	0.7682321668	0.5241568685
491	0.7682560682	0.5241133464
492	0.7682755291	0.5240663411
493	0.7683078647	0.5240221354
494	0.7683761716	0.5239685872
495	0.7684398293	0.5239201497
496	0.7684891224	0.5238770182
497	0.7685238421	0.5238320638
498	0.768565923	0.5237902018
499	0.7685878277	0.5237414062
500	0.7686388493	0.5236924805
501	0.7686437666	0.5236476888
502	0.7686658502	0.5235959961
503	0.7686855793	0.523547819
504	0.7686911821	0.5235057943
505	0.7687239647	0.5234609375
506	0.7687277198	0.5234133138
507	0.7687774301	0.523363151
508	0.7687968314	0.5233206055
509	0.7688211799	0.5232733073
510	0.7688631415	0.5232285482
511	0.7688834071	0.5231884766
512	0.7689062655	0.523146224
513	0.7689300179	0.5231011719
514	0.7689646482	0.5230530599
515	0.7689608932	0.5230051432
516	0.7689689398	0.5229620443
517	0.7689911127	0.5229203776
518	0.7690131664	0.5228734701
519	0.7690331936	0.5228314128
520	0.7690700293	0.5227906576
521	0.769098103	0.5227442708
522	0.7691325545	0.5227022786
523	0.7691674232	0.5226574544
524	0.7691937983	0.5226178711
525	0.7692292035	0.5225758464
526	0.7692677379	0.5225320313
527	0.7692986131	0.5224900065
528	0.7693205476	0.5224486003
529	0.769339323	0.5224052083
530	0.7693448067	0.5223625651
531	0.7693617344	0.5223241211
532	0.7693967223	0.5222838867
533	0.769408524	0.5222434245
534	0.7694690824	0.522198763
535	0.7694851756	0.5221540039
536	0.7695096135	0.5221088542
537	0.7695268393	0.5220688477
538	0.7695404887	0.5220283529
539	0.7695481181	0.5219871419
540	0.7695766687	0.5219479818
541	0.7695832849	0.5219067057
542	0.769587338	0.5218645508
543	0.769621551	0.5218236979
544	0.769652009	0.5217794271
545	0.7696697116	0.5217369141
546	0.769682616	0.5216965495
547	0.7697122097	0.5216549479
548	0.769710362	0.5216144531
549	0.7697278261	0.5215755859
550	0.7697591782	0.5215385417
551	0.7697807848	0.5215016927
552	0.7698077559	0.5214607422
553	0.7698341906	0.5214208659
554	0.7698370814	0.5213843424
555	0.7698812783	0.5213434245
556	0.7699117064	0.5213062174
557	0.7698999643	0.5212686523
558	0.7699455023	0.5212248372
559	0.7699634433	0.5211846029
560	0.7699717283	0.5211452474
561	0.7699881196	0.5211078451
562	0.7700003982	0.5210730143
563	0.7700424194	0.521031901
564	0.7700565159	0.5209955404
565	0.7700847983	0.520959375
566	0.7701156735	0.5209203451
567	0.770144105	0.5208839518
568	0.7701846957	0.520851888
569	0.77019611	0.5208178385
570	0.7702229917	0.5207815755
571	0.7702444196	0.5207458659
572	0.7702581882	0.5207099609
573	0.7702839375	0.5206724284
574	0.7703127861	0.5206397135
575	0.7703437209	0.5205981445
576	0.7703638971	0.5205610026
577	0.7703852057	0.5205240885
578	0.770429194	0.5204826497
579	0.7704402804	0.520446582
580	0.770485878	0.5204063151
581	0.7705045938	0.5203655273
582	0.7705094814	0.520328776
583	0.7705363929	0.5202882487
584	0.7705604434	0.5202515625
585	0.7705816031	0.5202170573
586	0.7706122994	0.5201754232
587	0.7706422806	0.5201400391
588	0.7706631422	0.5201032552
589	0.7706773877	0.5200675456
590	0.7707018852	0.5200298828
591	0.7707226276	0.5199937174
592	0.7707568705	0.5199532552
593	0.7707816362	0.5199204102
594	0.7708081007	0.5198880534
595	0.7708241642	0.5198529622
596	0.7708522081	0.5198139323
597	0.7708786726	0.5197805664
598	0.7709026337	0.5197473307
599	0.7709157467	0.5197105143
600	0.7709524035	0.5196735677
601	0.770973146	0.5196398112
602	0.7709969878	0.5196049479
603	0.7710212469	0.5195693359
604	0.7710343897	0.5195313151
605	0.7710437775	0.5194989909
606	0.7710801959	0.5194586263
607	0.7710992098	0.5194251628
608	0.7711043954	0.5193881185
609	0.7711145878	0.5193555339
610	0.7711417675	0.5193171875
611	0.7711482644	0.5192867513
612	0.7711696327	0.5192552409
613	0.7711935639	0.5192247396
614	0.7711941004	0.5191915365
615	0.7712158859	0.5191565755
616	0.7712349296	0.5191281901
617	0.7712351382	0.5190964844
618	0.7712467909	0.5190621745
619	0.7712666988	0.5190265625
620	0.7712896466	0.5189947266
621	0.7713138163	0.5189566406
622	0.7713341117	0.5189254232
623	0.7713660598	0.518888151
624	0.7713852525	0.5188596354
625	0.7714054585	0.5188281576
626	0.7714365125	0.5187953776
627	0.7714450955	0.5187620768
628	0.7714675665	0.5187264974
629	0.7714908719	0.5186962565
630	0.7715139687	0.5186694987
631	0.7715346813	0.5186383464
632	0.7715458572	0.5186046875
633	0.7715732157	0.5185708984
634	0.7716263533	0.5185354167
635	0.7716469169	0.5185051432
636	0.7716610432	0.5184733398
637	0.7716661394	0.5184446289
638	0.771709919	0.518407194
639	0.7717248201	0.5183772461
640	0.771732688	0.5183486003
641	0.771758914	0.5183160156
642	0.7717852592	0.518288444
643	0.7718051374	0.5182586589
644	0.7718088925	0.5182299805
645	0.7718297243	0.5182022135
646	0.7718432546	0.5181726237
647	0.7718692422	0.5181439453
648	0.7718931735	0.518115332
649	0.7719132304	0.5180842448
650	0.7719367743	0.5180498372
651	0.7719456255	0.518019694
652	0.7719528973	0.517989388
653	0.7719715834	0.5179611654
654	0.771987468	0.5179311849
655	0.7720013261	0.5179061523
656	0.7720153928	0.5178782227
657	0.7720324397	0.517850651
658	0.7720500231	0.5178228841
659	0.7720578313	0.5177924479
660	0.7720773816	0.5177603841
661	0.7720910907	0.5177322266
662	0.7720924616	0.5177039388
663	0.7720922828	0.5176756836
664	0.7721090615	0.5176471029
665	0.7721212506	0.517616569
666	0.7721572518	0.5175823242
667	0.7721792459	0.5175499349
668	0.7721842229	0.517525
669	0.7722018957	0.5174942708
670	0.7722008228	0.5174660482
671	0.7722208798	0.5174380208
672	0.7722403407	0.5174052083
673	0.7722349167	0.5173773437
674	0.7722573578	0.5173521484
675	0.7722710967	0.5173272786
676	0.7722880244	0.5172986328
677	0.7722970247	0.5172706706
678	0.7723452449	0.5172352865
679	0.772361517	0.5172117188
680	0.7723870277	0.5171810872
681	0.7724004984	0.5171558268
682	0.7724160254	0.5171283529
683	0.7724536955	0.5170955078
684	0.7724927068	0.5170607422
685	0.7725317478	0.5170273763
686	0.7725529373	0.5169984701
687	0.7725630403	0.5169695638
688	0.7725858092	0.5169407227
689	0.7725941539	0.5169097656
690	0.7726321816	0.5168788086
691	0.772651732	0.5168531576
692	0.7726668715	0.5168276042
693	0.7726813555	0.5168014648
694	0.7727204561	0.5167672201
695	0.7727330923	0.5167427409
696	0.7727324367	0.5167164063
697	0.7727489471	0.516694043
698	0.7727760375	0.5166653646
699	0.7727860212	0.516640332
700	0.7727982402	0.5166147786
701	0.7728067338	0.516588737
702	0.7728145719	0.5165620443
703	0.7728211582	0.5165395833
704	0.7728590965	0.5165086263
705	0.7728738189	0.5164814128
706	0.7728909254	0.5164586263
707	0.7729181647	0.5164314779
708	0.7729247808	0.5164060872
709	0.7729372382	0.5163828451
710	0.7729464769	0.5163589844
711	0.7729694843	0.5163338867
712	0.77297616	0.516308431
713	0.772980094	0.5162807292
714	0.7730001211	0.5162563477
715	0.7730180025	0.5162306966
716	0.7730292082	0.5162083659
717	0.7730525434	0.5161826823
718	0.7730697989	0.5161516276
719	0.7731046081	0.5161182617
720	0.7731176615	0.5160956055
721	0.7731345296	0.5160679362
722	0.7731515467	0.5160432292
723	0.7731718719	0.5160146159
724	0.7731762528	0.5159911784
725	0.7731990218	0.515969043
726	0.7732104361	0.5159426432
727	0.7732399702	0.5159133464
728	0.7732470632	0.515888151
729	0.7732582688	0.5158616536
730	0.7732738256	0.5158378581
731	0.7732734084	0.5158129883
732	0.7732803822	0.5157884115
733	0.7732900977	0.5157636068
734	0.773296237	0.5157397461
735	0.7733171284	0.5157152669
736	0.7733433843	0.5156867839
737	0.7733571529	0.5156621094
738	0.7733787894	0.515634375
739	0.7733843923	0.5156114909
740	0.7734075785	0.515580957
741	0.7733997703	0.515556901
742	0.7734213471	0.5155313802
743	0.7734353244	0.5155041992
744	0.7734527886	0.5154792318
745	0.7734645903	0.5154566406
746	0.7734850645	0.515433724
747	0.7734925747	0.5154121745
748	0.7735103369	0.5153894206
749	0.7735069394	0.5153657227
750	0.7735088468	0.5153417969
751	0.7735324502	0.5153185547
752	0.7735536098	0.5152926758
753	0.7735609412	0.515270931
754	0.7735702395	0.5152495443
755	0.7735923529	0.5152182292
756	0.7736106217	0.5151955729
757	0.7736211419	0.5151701172
758	0.7736276388	0.5151486979
759	0.7736360431	0.5151265951
760	0.7736481428	0.5151056641
761	0.7736638188	0.5150825521
762	0.7736837864	0.5150595052
763	0.773691833	0.5150393555
764	0.7737274766	0.5150117187
765	0.7737425566	0.5149847005
766	0.7737613916	0.5149609701
767	0.7737678289	0.5149408529
768	0.7737869024	0.5149154622
769	0.7737926543	0.514894401
770	0.773804009	0.5148732096
771	0.7738175392	0.5148513997
772	0.7738268375	0.5148277344
773	0.7738540769	0.5147989583
774	0.7738649249	0.514775293
775	0.7738763392	0.5147541667
776	0.7739297748	0.5147167643
777	0.7739414573	0.5146983724
778	0.7739486992	0.5146779948
779	0.7739617229	0.5146565755
780	0.7739650607	0.5146322591
781	0.7739799619	0.5146116211
782	0.7739917636	0.5145875
783	0.7740032077	0.5145663411
784	0.7740186453	0.5145459961
785	0.7740299106	0.5145278646
786	0.7740373611	0.5145071615
787	0.7740474343	0.5144901042
788	0.7740520835	0.5144690755
789	0.7740629613	0.5144498698
790	0.7740611434	0.5144287109
791	0.7740781903	0.5144086589
792	0.7740727663	0.5143859049
793	0.774081707	0.5143655924
794	0.7740886211	0.5143440104
795	0.7741017044	0.5143235677
796	0.7741064429	0.5143028971
797	0.7741175294	0.5142833984
798	0.7741332352	0.5142588216
799	0.7741599083	0.5142301432
800	0.7741701007	0.5142113607
801	0.7741891444	0.514186849
802	0.7741957605	0.5141669596
803	0.7742084265	0.5141474609
804	0.7742184997	0.5141278646
805	0.7742338777	0.514109082
806	0.7742525935	0.514085319
807	0.7742727995	0.5140616862
808	0.7742829919	0.5140413086
809	0.7742922902	0.5140174479
810	0.7743023038	0.5139983724
811	0.7743127644	0.513980306
812	0.7743154764	0.5139622396
813	0.7743185759	0.5139435221
814	0.7743204832	0.5139250977
815	0.774333477	0.5139047852
816	0.7743447423	0.5138829102
817	0.7743576169	0.5138651693
818	0.7743726969	0.5138426107
819	0.7743801475	0.5138232422
820	0.7743930221	0.5138058919
821	0.7743977308	0.5137878255
822	0.774402082	0.5137691406
823	0.7744051814	0.5137516276
824	0.7744246125	0.5137316732
825	0.7744268775	0.5137130534
826	0.7744364142	0.5136921549
827	0.7744429111	0.513674349
828	0.7744486332	0.5136539714
829	0.7744960189	0.5136192057
830	0.774504602	0.5136012044
831	0.7745236158	0.5135808919
832	0.7745378017	0.5135616211
833	0.774548769	0.5135429362
834	0.7745572329	0.5135267904
835	0.7745677829	0.5135089193
836	0.7745932341	0.5134831706
837	0.7746078372	0.5134633789
838	0.7746149898	0.51344375
839	0.7746255398	0.5134242187
840	0.7746272087	0.5134050456
841	0.7746298909	0.5133867187
842	0.7746444941	0.5133665365
843	0.7746516466	0.5133493815
844	0.7746890187	0.5133207031
845	0.7746993899	0.5133035482
846	0.7747040391	0.5132857747
847	0.7747377157	0.5132577474
848	0.7747858763	0.5132243164
849	0.7748214006	0.5131964844
850	0.7748352587	0.5131777018
851	0.7748641968	0.5131525391
852	0.7748754621	0.5131342448
853	0.7749059796	0.5131081706
854	0.7749376893	0.5130820312
855	0.7749410272	0.5130658854
856	0.7749533653	0.5130465495
857	0.7749595046	0.5130305664
858	0.7749869227	0.5130066732
859	0.7749980688	0.5129886719
860	0.7750095129	0.5129709635
861	0.7750194073	0.5129531901
862	0.7750270367	0.512934082
863	0.7750367522	0.512918099
864	0.7750661373	0.5128941081
865	0.7751065493	0.5128609375
866	0.7751200497	0.5128447917
867	0.7751606107	0.5128126628
868	0.7751594186	0.5127938802
869	0.7751695216	0.5127759766
870	0.7751815319	0.5127550456
871	0.7751880884	0.5127372721
872	0.7751886845	0.5127186523
873	0.7751962841	0.5127007812
874	0.7752070427	0.5126823568
875	0.775213182	0.5126682617
876	0.7752230763	0.5126536784
877	0.775231868	0.5126360026
878	0.7752353549	0.5126205729
879	0.7752529979	0.5126023112
880	0.775275588	0.5125808919
881	0.7752889991	0.5125653971
882	0.7753178477	0.5125397786
